test_id,number,title,group,oracle,candidate,primary_classification,reason_code
0001,1,used_binaries.at:27: 1. compiler help and information,used_binaries.at:27,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC --list-reserved
0002,2,used_binaries.at:51: 2. compiler warnings,used_binaries.at:51,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COBC -fsyntax-only -fdiagnostics-plain-output -Wadditional prog.cob
0003,3,used_binaries.at:179: 3. compiler outputs (general),used_binaries.at:179,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC -C prog.cob
0004,4,(no status line in group log),,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC -I sub/copy prog.c -o prog.$COB_OBJECT_EXT
0005,5,used_binaries.at:300: 5. compiler outputs (path specified),used_binaries.at:300,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,"candidate compile-phase failure: $COBC $(_return_path ""sub/prog.c"") -o $(_return_path ""sub/prog.$COB_OBJECT_EXT"")"
0006,6,used_binaries.at:329: 6. compiler outputs (assembler),used_binaries.at:329,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC -v -S prog.cob
0007,7,used_binaries.at:364: 7. source file not found,used_binaries.at:364,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0008,8,used_binaries.at:374: 8. temporary path invalid,used_binaries.at:374,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,"candidate compile-phase failure: TMPDIR="""" TMP=""notthere"" TEMP="""" $COMPILE prog.cob"
0009,9,use of full path for cobc,used_binaries.at:409,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0010,10,C Compiler optimizations,used_binaries.at:427,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0011,11,used_binaries.at:464: 11. invalid cobc option,used_binaries.at:464,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE -q --thisoptiondoesntexist prog.cob
0012,12,cobcrun help and information,used_binaries.at:484,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0013,13,cobcrun validation,used_binaries.at:500,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0014,14,used_binaries.at:540: 14. cobcrun -M DSO entry argument,used_binaries.at:540,ORACLE_PASS,-,CANDIDATE_RUNTIME_FAIL,candidate program run failed ($COBCRUN -M ./caller inside again)
0015,15,cobcrun -M directory/ default,used_binaries.at:626,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0016,16,used_binaries.at:665: 16. cobcrun -M directory/dso alternate,used_binaries.at:665,ORACLE_PASS,-,CANDIDATE_RUNTIME_FAIL,candidate program run failed ($COBCRUN -M ./caller inside)
0017,17,used_binaries.at:716: 17. cobcrun -M DSO entry multiple arguments,used_binaries.at:716,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COBC -b ${FLAGS} mainer.cob called.cob
0018,18,used_binaries.at:762: 18. cobcrun error messages,used_binaries.at:762,ORACLE_PASS,-,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module lifecycle not supported by the candidate model: $COBCRUN -q -prog
0019,19,used_binaries.at:796: 19. run job with unsuccessful compilation,used_binaries.at:796,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate compile-phase failure: $COMPILE -j prog.cob
0020,20,used_binaries.at:815: 20. run job after compilation,used_binaries.at:815,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE -jd prog.cob
0021,21,used_binaries.at:832: 21. run job after compilation (path specified),used_binaries.at:832,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,"cobc-rs rejected an option in: $COMPILE_MODULE -jd -o $(_return_path ""sub/prog"") prog.cob"
0022,22,used_binaries.at:850: 22. run job with optional arguments,used_binaries.at:850,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,"candidate compile-phase failure: $COMPILE -j=""job 123"" prog.cob"
0023,23,used_binaries.at:872: 23. compile from stdin,used_binaries.at:872,ORACLE_PASS,-,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module lifecycle not supported by the candidate model: $COBCRUN a
0024,24,used_binaries.at:900: 24. run job after compilation from stdin,used_binaries.at:900,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: cat prog.cob | $COMPILE -j -
0025,25,used_binaries.at:924: 25. cobc diagnostics show caret,used_binaries.at:924,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COBC -fdiagnostics-plain-output -Wall prog.cob
0026,26,configuration.at:22: 26. cobc with standard configuration file,configuration.at:22,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0027,27,configuration.at:43: 27. cobc dialect features for all -std,configuration.at:43,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=default prog.cob
0028,28,configuration.at:105: 28. cobc with configuration file via -std,configuration.at:105,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=cobol2014 prog.cob
0029,29,configuration.at:126: 29. cobc with standard configuration file via -conf,configuration.at:126,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -conf=cobol2014.conf prog.cob
0030,30,cobc with own configuration file via -conf,configuration.at:147,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0031,31,configuration.at:176: 31. cobc configuration: recursive include,configuration.at:176,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -conf=test.conf prog.cob
0032,32,configuration.at:214: 32. cobc with -std and -conf,configuration.at:214,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -std=default -conf=test.conf prog.cob
0033,33,configuration.at:241: 33. cobc compiler flag on command line,configuration.at:241,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY -fcomment-paragraphs=ok prog.cob
0034,34,configuration.at:260: 34. cobc compiler flag on command line (priority),configuration.at:260,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY \
0035,35,configuration.at:293: 35. cobc configuration: entries,configuration.at:293,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY -q \
0036,36,configuration.at:340: 36. cobc configuration: conf missing,configuration.at:340,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -conf=notthere.conf prog.cob
0037,37,configuration.at:368: 37. cobc configuration: conf optional,configuration.at:368,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -conf=defunc.conf prog.cob
0038,38,configuration.at:404: 38. cobc configuration: incomplete,configuration.at:404,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -conf=test.conf prog.cob
0039,39,runtime configuration,configuration.at:546,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0040,40,configuration.at:565: 40. runtime configuration file,configuration.at:565,ORACLE_PASS,-,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module lifecycle not supported by the candidate model: $COBCRUN -c test2.cfg --runtime-conf | \
0041,41,runtime configuration: recursive include,configuration.at:608,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0042,42,configuration.at:637: 42. runtime configuration: environment priority,configuration.at:637,ORACLE_PASS,-,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module lifecycle not supported by the candidate model: COB_PHYSICAL_CANCEL=false $COBCRUN -c test.cfg --runtime-conf | \
0043,43,runtime configuration: entries,configuration.at:650,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0044,44,configuration.at:731: 44. runtime configuration: conf missing,configuration.at:731,ORACLE_PASS,-,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module lifecycle not supported by the candidate model: $COBCRUN -c defunc.cfg --runtime-conf
0045,45,configuration.at:760: 45. runtime configuration: conf optional,configuration.at:760,ORACLE_PASS,-,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module lifecycle not supported by the candidate model: $COBCRUN -c defunc.cfg --runtime-conf
0046,46,configuration.at:773: 46. runtime configuration: strings and environment,configuration.at:773,ORACLE_PASS,-,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: unset greet name ; \
0047,47,configuration.at:787: 47. validation of COB_CONFIG_DIR,configuration.at:787,ORACLE_PASS,-,CANDIDATE_UNSUPPORTED,"candidate failed at an unclassified boundary: echo ""$PATHSEP"""
0048,48,configuration.at:827: 48. cobc configuration: source format,configuration.at:827,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY -fformat=unknown fixed.cob
0049,49,configuration.at:885: 49. cobc configuration: ebcdic-table,configuration.at:885,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE -C -febcdic-table=default prog.cob
0050,50,syn_copy.at:23: 50. COPY: IN / OF / -I,syn_copy.at:23,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0051,51,syn_copy.at:125: 51. COPY: relative copybooks,syn_copy.at:125,ORACLE_XFAIL,expected-failure,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0052,52,syn_copy.at:170: 52. COPY: extension,syn_copy.at:170,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0053,53,COPY: within comment,syn_copy.at:257,ORACLE_PASS,ok,OBSERVABLE_MATCH,oracle and candidate both satisfy the test's AT_CHECK assertions
0054,54,syn_copy.at:286: 54. COPY: file not found,syn_copy.at:286,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0055,55,syn_copy.at:342: 55. COPY: recursive,syn_copy.at:342,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0056,56,syn_copy.at:382: 56. COPY: replacement order,syn_copy.at:382,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE prog.cob
0057,57,syn_copy.at:409: 57. COPY: separators,syn_copy.at:409,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE prog.cob
0058,58,syn_copy.at:438: 58. COPY: partial replacement,syn_copy.at:438,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE prog.cob
0059,59,syn_copy.at:468: 59. COPY: LEADING replacement,syn_copy.at:468,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE prog.cob
0060,60,syn_copy.at:498: 60. COPY: TRAILING replacement,syn_copy.at:498,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE prog.cob
0061,61,syn_copy.at:528: 61. COPY: partial replacement BY literal,syn_copy.at:528,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE -fpartial-replace-when-literal-src=skip -o prog-skip prog.cob
0062,62,syn_copy.at:630: 62. COPY: recursive replacement,syn_copy.at:630,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE prog.cob
0063,63,syn_copy.at:660: 63. COPY: fixed/free format,syn_copy.at:660,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE -free prog.cob
0064,64,syn_copy.at:686: 64. REPLACE: partial replacement BY SPACE,syn_copy.at:686,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY -fpartial-replace-when-literal-src=ok prog.cob
0065,65,syn_copy.at:739: 65. COPY: simple partial match,syn_copy.at:739,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0066,66,"syn_copy.at:766: 66. COPY: with LEADING, multiple partial matches",syn_copy.at:766,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0067,67,syn_copy.at:804: 67. COPY: multiple partial matches with an error,syn_copy.at:804,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0068,68,syn_copy.at:844: 68. COPY: Multiple partial matches (1),syn_copy.at:844,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0069,69,syn_copy.at:884: 69. COPY: Multiple partial matches (2),syn_copy.at:884,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0070,70,syn_copy.at:923: 70. COPY and REPLACE in same file,syn_copy.at:923,ORACLE_PASS,-,WRAPPER_OPTION_UNSUPPORTED,cobc-rs rejected an option in: $COMPILE_ONLY -P- prog.cob
0071,71,syn_copy.at:997: 71. COPY and REPLACE errors,syn_copy.at:997,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0072,72,syn_copy.at:1041: 72. COPY and REPLACE with reserved words,syn_copy.at:1041,ORACLE_PASS,-,WRAPPER_INVOCATION_MALFORMED,cobc-rs rejected the invocation shape: $COMPILE_ONLY prog.cob
0073,73,syn_definition.at:25: 73. Invalid source name,syn_definition.at:25,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY short.cob
0074,74,syn_definition.at:37: 74. Invalid PROGRAM-ID,syn_definition.at:37,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY SHORT.cob
0075,75,syn_definition.at:89: 75. Invalid PROGRAM-ID type clause (1),syn_definition.at:89,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
0076,76,syn_definition.at:106: 76. invalid PROGRAM-ID type clause (2),syn_definition.at:106,ORACLE_PASS,-,CANDIDATE_CHECK_REJECT,candidate syntax check failed: $COMPILE_ONLY prog.cob
